early_access,year
False,2018.0
False,2018.0
False,2017.0
False,2018.0
False,2018.0
False,2018.0
False,2018.0
False,2018.0
False,2018.0
False,2018.0
False,2018.0
False,2018.0
False,2018.0
False,2018.0
False,2018.0
False,2017.0
False,2017.0
False,2018.0
False,1997.0
False,1998.0
False,2016.0
False,2018.0
False,2018.0
False,2018.0
False,2018.0
False,2017.0
False,2018.0
False,2006.0
False,2006.0
False,2006.0
False,2012.0
True,2017.0
False,2018.0
False,2017.0
True,2017.0
False,2017.0
False,2017.0
False,2005.0
False,2006.0
False,2006.0
False,2006.0
False,2006.0
False,2006.0
False,2006.0
False,2003.0
False,2006.0
False,2006.0
False,2006.0
False,2005.0
False,2007.0
False,2006.0
False,2002.0
False,2000.0
False,2006.0
False,2003.0
False,2006.0
False,1998.0
False,1995.0
False,2007.0
False,2006.0
False,2006.0
False,1996.0
False,2006.0
False,1995.0
False,1995.0
False,1994.0
False,1994.0
False,2001.0
False,1997.0
False,1993.0
False,2003.0
False,2007.0
False,2007.0
False,2007.0
False,2006.0
False,2007.0
False,2006.0
False,2006.0
False,2004.0
False,2006.0
False,2007.0
False,1998.0
False,1999.0
False,2004.0
False,2003.0
False,2003.0
False,2006.0
False,2001.0
False,2008.0
False,2007.0
False,2007.0
False,2007.0
False,2007.0
False,2007.0
False,2008.0
False,2007.0
False,2006.0
False,2006.0
False,2007.0
False,2006.0
False,2006.0
False,2005.0
False,2003.0
False,1998.0
False,2008.0
False,2003.0
False,2004.0
False,2000.0
False,2006.0
False,2005.0
False,2008.0
False,2008.0
False,2008.0
False,2008.0
False,2008.0
False,2008.0
False,2005.0
False,2007.0
False,2007.0
False,2005.0
False,2007.0
False,2007.0
False,2006.0
False,2008.0
False,2005.0
False,2005.0
False,2006.0
False,2008.0
False,2007.0
False,2007.0
False,2008.0
False,2008.0
False,2008.0
False,2008.0
False,2007.0
False,2008.0
False,2008.0
False,1998.0
False,1997.0
False,2008.0
False,2001.0
False,1997.0
False,1993.0
False,2008.0
False,2008.0
False,2007.0
False,1998.0
False,2008.0
False,2008.0
False,2008.0
False,2008.0
False,2008.0
False,2003.0
False,2008.0
False,2008.0
False,2008.0
False,2008.0
False,2008.0
False,2006.0
False,2006.0
False,2005.0
False,2007.0
False,2008.0
False,2007.0
False,2002.0
False,2008.0
False,2008.0
False,2008.0
False,2008.0
False,2008.0
False,2008.0
False,2008.0
False,2008.0
False,2008.0
False,2009.0
False,2009.0
False,2009.0
False,2009.0
False,2009.0
False,2009.0
False,2009.0
