app_name,metascore,year
Half-Life,96,1998
Disciples II: Gallean's Return,84,2006
Disciples II: Rise of the Elves,80,2006
The Ship: Murder Party,76,2006
Advent Rising,70,2005
DEFCON,84,2006
The Ship: Single Player,0,2006
Garry's Mod,0,2006
RACE - The WTCC Game,0,2006
Zen of Sudoku,0,2006
Gumboy - Crazy Adventures™,69,2006
Ghost Master®,81,2003
Vegas: Make It Big™,0,2006
Dreamfall: The Longest Journey,75,2006
FlatOut 2™,76,2006
FlatOut,72,2005
Lost Planet™: Extreme Condition,66,2007
CivCity: Rome,67,2006
Arx Fatalis,77,2002
The Longest Journey,91,2000
Civilization IV®: Warlords,84,2006
Railroad Tycoon 3,80,2003
Sid Meier's Railroads!,77,2006
Railroad Tycoon II Platinum,89,1998
Tomb Raider: Anniversary,83,2007
Devil May Cry® 3 Special Edition,66,2006
DOOM II,83,1994
Return to Castle Wolfenstein,88,2001
BloodRayne,65,2003
QUAKE,94,2007
Genesis Rising,57,2007
BioShock™,96,2007
"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",86,2006
"Warhammer® 40,000: Dawn of War® - Dark Crusade",87,2006
Rome: Total War™ - Collection,92,2004
Rome: Total War™ - Alexander,79,2006
Manhunt,75,2004
Midnight Club 2,81,2003
Max Payne 2: The Fall of Max Payne,86,2003
Tomb Raider: Legend,82,2006
Max Payne,89,2001
Command & Conquer: Red Alert 3,82,2008
PuzzleQuest: Challenge of the Warlords,84,2007
Culpa Innata,66,2007
18 Wheels of Steel: American Long Haul,0,2007
Conflict: Denied Ops,58,2008
ARMA: Combat Operations,74,2007
Tycoon City: New York,67,2006
Desperados 2: Cooper's Revenge,66,2006
Death to Spies,69,2007
Act of War: High Treason,74,2006
RollerCoaster Tycoon® 3: Platinum,81,2006
Act of War: Direct Action,82,2005
Unreal 2: The Awakening,75,2003
Unreal Gold,0,1998
Ninja Reflex: Steamworks Edition,57,2008
Tom Clancy's Splinter Cell®,91,2003
Far Cry®,89,2004
Unreal Tournament: Game of the Year Edition,92,2000
Tom Clancy's Rainbow Six® Vegas,85,2006
Silent Hunter® III,90,2005
Rayman Raving Rabbids™,58,2007
Silent Hunter®: Wolves of the Pacific,79,2007
IL-2 Sturmovik: 1946,86,2006
Silent Hunter®: Wolves of the Pacific U-Boat Missions,0,2008
Bone: Out From Boneville,68,2005
Midnight Outlaw: 6 Hours to SunUp,0,2005
Bone: The Great Cow Race,76,2006
Sprint Cars Road to Knoxville,0,2008
Dr. Daisy Pet Vet,0,2008
