specs,year
['Single-player'],2018.0
"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']",2018.0
"['Single-player', 'Multi-player', 'Online Multi-Player', 'In-App Purchases', 'Stats']",2017.0
"['Single-player', 'Steam Achievements']",2018.0
"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud', 'Steam Leaderboards']",2018.0
"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud', 'Steam Leaderboards']",2018.0
"['Single-player', 'Multi-player', 'Partial Controller Support']",2018.0
"['Single-player', 'Steam Achievements']",2018.0
['Single-player'],2018.0
['Single-player'],2018.0
"['Single-player', 'Steam Achievements', 'Steam Cloud']",2018.0
"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud', 'Steam Leaderboards']",2018.0
"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Cloud']",2018.0
"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud', 'Steam Leaderboards']",2018.0
['Single-player'],2018.0
"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Steam Leaderboards']",2017.0
"['Single-player', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Partial Controller Support', 'Steam Leaderboards']",2017.0
"['Single-player', 'Local Co-op', 'Shared/Split Screen', 'Partial Controller Support']",2018.0
"['Single-player', 'Multi-player', 'Steam Trading Cards']",1997.0
"['Single-player', 'Multi-player', 'Valve Anti-Cheat enabled']",1998.0
['Single-player'],2016.0
"['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Stats', 'Steam Leaderboards', 'Steam Turn Notifications']",2018.0
"['Single-player', 'Full controller support']",2018.0
['Single-player'],2018.0
"['Online Multi-Player', 'MMO', 'Cross-Platform Multiplayer', 'Steam Achievements', 'In-App Purchases', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Turn Notifications']",2018.0
"['Single-player', 'Steam Achievements']",2017.0
"['Single-player', 'Steam Achievements', 'Partial Controller Support']",2018.0
"['Single-player', 'Multi-player', 'Co-op']",2006.0
"['Single-player', 'Multi-player', 'Co-op']",2006.0
"['Single-player', 'Multi-player', 'Steam Trading Cards', 'Valve Anti-Cheat enabled']",2006.0
"['Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op']",2012.0
['Single-player'],2017.0
"['Single-player', 'Steam Achievements', 'Full controller support', 'Captions available', 'Steam Cloud']",2018.0
"['Single-player', 'Partial Controller Support']",2017.0
"['Single-player', 'Steam Achievements']",2017.0
"['Single-player', 'Steam Achievements']",2017.0
"['Single-player', 'Steam Achievements', 'Partial Controller Support']",2017.0
"['Single-player', 'Steam Trading Cards']",2005.0
"['Single-player', 'Multi-player']",2006.0
['Single-player'],2006.0
"['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Includes level editor']",2006.0
"['Single-player', 'Multi-player']",2006.0
['Single-player'],2006.0
['Single-player'],2006.0
['Single-player'],2003.0
['Single-player'],2006.0
['Single-player'],2006.0
['Single-player'],2006.0
"['Single-player', 'Multi-player']",2005.0
"['Single-player', 'Multi-player', 'Partial Controller Support', 'Valve Anti-Cheat enabled']",2007.0
['Single-player'],2006.0
['Single-player'],2002.0
['Single-player'],2000.0
['Single-player'],2006.0
"['Single-player', 'Multi-player']",2003.0
"['Single-player', 'Multi-player']",2006.0
['Single-player'],1998.0
['Single-player'],1995.0
"['Single-player', 'Partial Controller Support']",2007.0
"['Single-player', 'Partial Controller Support']",2006.0
['Single-player'],2006.0
"['Single-player', 'Steam Cloud']",1996.0
['Single-player'],2006.0
"['Single-player', 'Steam Cloud']",1995.0
"['Single-player', 'Steam Cloud']",1995.0
"['Single-player', 'Multi-player', 'Steam Cloud']",1994.0
"['Single-player', 'Steam Cloud']",1994.0
"['Single-player', 'Multi-player', 'Steam Cloud']",2001.0
"['Single-player', 'Multi-player', 'Steam Cloud']",1997.0
"['Single-player', 'Steam Cloud']",1993.0
"['Single-player', 'Steam Trading Cards']",2003.0
"['Single-player', 'Multi-player', 'Steam Cloud']",2007.0
"['Single-player', 'Multi-player', 'Co-op', 'Steam Cloud']",2007.0
"['Single-player', 'Multi-player']",2007.0
"['Single-player', 'Multi-player']",2006.0
"['Single-player', 'Partial Controller Support']",2007.0
"['Single-player', 'Multi-player', 'Steam Trading Cards', 'Steam Cloud']",2006.0
"['Single-player', 'Multi-player', 'Steam Cloud']",2006.0
"['Single-player', 'Multi-player', 'Steam Trading Cards']",2004.0
"['Single-player', 'Multi-player']",2006.0
['Single-player'],2007.0
['Single-player'],1998.0
['Single-player'],1999.0
['Single-player'],2004.0
"['Single-player', 'Multi-player']",2003.0
['Single-player'],2003.0
"['Single-player', 'Partial Controller Support']",2006.0
['Single-player'],2001.0
['Single-player'],2008.0
"['Single-player', 'Multi-player', 'Steam Cloud']",2007.0
['Single-player'],2007.0
['Single-player'],2007.0
['Single-player'],2007.0
['Single-player'],2007.0
['Single-player'],2008.0
"['Single-player', 'Multi-player', 'Includes level editor']",2007.0
['Single-player'],2006.0
['Single-player'],2006.0
"['Single-player', 'Steam Cloud']",2007.0
"['Single-player', 'Multi-player']",2006.0
['Single-player'],2006.0
"['Single-player', 'Multi-player']",2005.0
['Single-player'],2003.0
"['Single-player', 'Multi-player']",1998.0
"['Single-player', 'Multi-player', 'Steam Achievements']",2008.0
['Single-player'],2003.0
['Single-player'],2004.0
"['Single-player', 'Multi-player']",2000.0
"['Single-player', 'Multi-player']",2006.0
"['Single-player', 'Multi-player', 'Co-op']",2005.0
['Single-player'],2008.0
['Single-player'],2008.0
['Single-player'],2008.0
['Single-player'],2008.0
['Single-player'],2008.0
['Single-player'],2008.0
['Single-player'],2005.0
['Single-player'],2007.0
['Single-player'],2007.0
['Single-player'],2005.0
['Single-player'],2007.0
"['Single-player', 'Multi-player']",2007.0
"['Single-player', 'Multi-player', 'Steam Cloud', 'Includes level editor']",2006.0
